"unit","genotype","treatment","Groups","digital_Biomass","Height","M.Height","leaf_angle","LA (Leaf Area)","LAI (Leaf Area Index)","LAP (Leaf Area Projection)","LIc (Leaf Inclination)","LPD (Light Penetration Depth)","Biomass","Shoots","Nr_ears","Weight_ear","TKW","d13C","CID","iWUE"
"121","BMW_2218","control","High",28984806.0909091,580.742840909091,668.372386363636,33.192,42261.8652272727,0.227863636363636,18598.7970454545,1.83939931818182,413.508068181818,14.75,10,10,15.43,37.3,-32.84,25.0048691225189,22.8985546847897
"123","BMW_2218","drought","High",15050862.2045455,481.705113636364,610.178022727273,35.7606363636364,28671.7854545455,0.154590909090909,14234.9190909091,1.71863590909091,341.161613636364,4.72,5,5,3.55,32.99,-28.555,20.4836189599363,74.7899344734773
"126","BMW_2297","drought","Low",9181784.53488372,371.63976744186,468.534837209302,33.6571395348837,23655.3730232558,0.127558139534884,11561.2793023256,1.81413465116279,240.674069767442,5.61,7,6,3.36,22.35,-29.455,21.4299277421813,63.9289410201101
"130","BMW_2218","control","High",31104369.8409091,607.495659090909,718.834068181818,33.6,43189.7870454545,0.232818181818182,19391.7875,1.81287636363636,443.252613636364,14.3,9,9,10.65,38.6,-32.9125,25.0817110349739,22.0166232013487
"131","BMW_2352","drought","Low",10003053,427.038348837209,508.216697674419,33.9417674418605,22112.5951162791,0.119186046511628,10782.6479069767,1.79762395348837,284.993162790698,5.76,3,3,3.05,31.67,-30.035,22.0407016959739,56.918954387743
"135","BMW_2218","control","High",22682635.7906977,592.602511627907,703.751790697674,32.4121395348837,31569.488372093,0.170186046511628,13818.2606976744,1.86857139534884,420.445046511628,15.28,9,9,11.93,38.5,-33.445,25.6464549048273,15.5349339384049
"136","BMW_2364","drought","High",10156816.1395349,393.609697674419,501.143906976744,34.2939069767442,22429.4202325581,0.120860465116279,11098.8662790698,1.77907279069767,277.849604651163,8,4,2,1.57,21.82,-28.02,19.9219214598401,81.2366598825404
"138","BMW_2352","drought","Low",10853986.9069767,427.274186046512,503.277953488372,33.7208837209302,23968.9595348837,0.129255813953488,11807.4227906977,1.81423744186047,298.057697674419,4.47,3,3,3.44,22.41,-29.495,21.4720266464731,63.44576266175
"140","BMW_2218","drought","High",13311111.2790698,435.468023255814,541.414651162791,36.162976744186,28246.25,0.152279069767442,14505.611627907,1.70054069767442,300.273395348837,4.95,6,5,3.4,36.15,-28.485,20.4100906527798,75.6338349821145
"141","BMW_2095","control","Low",19017316.4418605,431.518511627907,523.92011627907,32.4172790697674,37322.3041860465,0.201162790697674,17115.5834883721,1.87937906976744,286.547348837209,10.35,9,9,13.04,22.9,-33.9975,26.2330679481009,8.80224737542083
"143","BMW_2321","drought","Low",10067113.8837209,478.695488372093,590.41111627907,31.0355581395349,18314.0279069767,0.0986744186046512,8054.51930232558,1.9512388372093,362.958813953488,5.6,5,3,3.68,23.4,-30.635,22.6733059482603,49.6584166313937
"146","BMW_2007","drought","High",12522546.5813953,431.468976744186,546.009744186047,34.2224651162791,27078.5095348837,0.145976744186047,13334.3760465116,1.79675255813953,300.790162790698,6.72,6,4,3.21,39.25,-28.685,20.6201996474216,73.2223679661527
"148","BMW_2321","control","Low",19970647.627907,521.657046511628,600.153534883721,33.028,32957.0246511628,0.177651162790698,14876.3439534884,1.83744813953488,365.880674418605,10.06,8,8,12.71,36.3,-34.005,26.2410356373846,8.71080045791111
"150","BMW_2095","drought","Low",6478392.65116279,334.299720930233,414.643697674419,33.0176744186046,17709.9360465116,0.0954651162790698,8572.47209302326,1.8429288372093,209.031023255814,3.27,3,3,3.18,35.18,-29.65,21.6351926836042,61.5730702654172
"151","BMW_2297","drought","Low",11061371.1190476,381.555380952381,477.620547619048,33.8622619047619,26438.0495238095,0.14252380952381,12598.8361904762,1.7991519047619,258.172547619048,7.43,6,5,3.7,22,-29.225,21.1879263686594,66.7064438636233
