"unit","genotype","treatment","Groups","d13C","CID","iWUE"
"121","BMW_2218","control","High",-32.84,25.0048691225189,22.8985546847897
"123","BMW_2218","drought","High",-28.555,20.4836189599363,74.7899344734773
"126","BMW_2297","drought","Low",-29.455,21.4299277421813,63.9289410201101
"130","BMW_2218","control","High",-32.9125,25.0817110349739,22.0166232013487
"131","BMW_2352","drought","Low",-30.035,22.0407016959739,56.918954387743
"135","BMW_2218","control","High",-33.445,25.6464549048273,15.5349339384049
"136","BMW_2364","drought","High",-28.02,19.9219214598401,81.2366598825404
"138","BMW_2352","drought","Low",-29.495,21.4720266464731,63.44576266175
"140","BMW_2218","drought","High",-28.485,20.4100906527798,75.6338349821145
"141","BMW_2095","control","Low",-33.9975,26.2330679481009,8.80224737542083
"143","BMW_2321","drought","Low",-30.635,22.6733059482603,49.6584166313937
"146","BMW_2007","drought","High",-28.685,20.6201996474216,73.2223679661527
"148","BMW_2321","control","Low",-34.005,26.2410356373846,8.71080045791111
"150","BMW_2095","drought","Low",-29.65,21.6351926836042,61.5730702654172
"151","BMW_2297","drought","Low",-29.225,21.1879263686594,66.7064438636233
"153","BMW_2364","control","High",-33.785,26.0073681536049,11.392653420932
"155","BMW_2007","drought","High",-30.675,22.7155074103478,49.1740611947177
"160","BMW_2364","drought","High",-30.27,22.2883784357866,54.0763141204983
"161","BMW_2321","drought","Low",-28.9775,20.9276399059088,69.6938086867922
"163","BMW_2297","control","Low",-33.365,25.5615710382258,16.5091646934748
"165","BMW_2352","control","Low",-33.345,25.5403522668743,16.7526971863153
"166","BMW_2321","control","Low",-33.78,26.0020587656386,11.4535904311605
"168","BMW_2095","drought","Low",-30.635,22.6733059482603,49.6584166313937
"170","BMW_2496","drought","High",-29.315,21.2826089004521,65.6197516789551
"173","BMW_2321","control","Low",-33.455,25.6570663761494,15.4131437545636
"175","BMW_2496","drought","High",-29.93,21.9300764074091,58.1886250887048
"178","BMW_2496","control","High",-32.49,24.6340701600349,27.1542957067635
"180","BMW_2218","drought","High",-29.875,21.8721393846518,58.8535810065624
"183","BMW_2352","control","Low",-32.65,24.8035449635968,25.2091962143655
"185","BMW_2352","drought","Low",-30.21,22.2251304102283,54.8022255823966
"186","BMW_2095","drought","Low",-29.8,21.7931449397396,59.7602175771422
"188","BMW_2352","drought","Low",-29.9,21.8984735805951,58.5513376636849
"190","BMW_2095","control","Low",-33.345,25.5403522668743,16.7526971863153
"191","BMW_2297","drought","Low",-29.4,21.3720474145223,64.5932462358894
"193","BMW_2007","drought","High",-28.805,20.7463065816189,71.7750110225859
"195","BMW_2218","control","High",-31.86,23.9673076420098,34.8068753711321
"196","BMW_2321","drought","Low",-29.72,21.7088976589596,60.7271420971118
"198","BMW_2496","control","High",-30.925,22.9793454794885,46.1459338060141
"201","BMW_2297","control","Low",-33.595,25.8056500334077,13.7078165304721
"203","BMW_2352","control","Low",-31.4925,23.5787634277849,39.2662825395082
"206","BMW_2218","drought","High",-28.505,20.4310976593141,75.3927329605284
"208","BMW_2364","control","High",-33.17,25.3547254641823,18.8831767154436
"210","BMW_2321","control","Low",-33.41,25.609316484275,15.9611797368749
