"","Unit","experiment","IDs","treatment","BBCH","Collection date","max.Height","Biomass","Shoots","Shoots_with_ear","Shoots_without_ear","Nr_ears","Full_ear","Half_ear","Weight_ear","Nr_seeds","Mature_seeds","Poor_seeds","all seeds weight","TKW","Groups"
"1","121","V22001","2218","ww","92","08/12/22",91.2,14.75,10,10,0,10,10,0,15.43,282,282,0,"10.86",37.3,"High"
"2","123","V22001","2218","ds","92","08/08/22",78,4.72,5,5,0,5,3,2,3.55,67,66,1,"2.21",32.99,"High"
"3","125","V22001","2156","ds","92","08/09/22",83,7.76,4,3,1,3,1,0,1.21,29,29,0,"0.66",22.76,"Low"
"4","126","V22001","2297","ds","92","08/08/22",61,5.61,7,6,1,6,5,1,3.36,68,65,3,"1.52",22.35,"Low"
"5","130","V22001","2218","ww","92","08/30/22",102,14.3,9,9,0,9,9,0,10.65,214,209,5,"7.22",38.6,"High"
"6","131","V22001","2352","ds","92","11/08/22",61,5.76,3,3.5,0,3,3,0,3.05,60,60,0,"1.90",31.67,"Low"
"7","133","V22001","2156","ds","92","08/08/22",67,6.14,5,4,1,4,4,0,2.93,68,68,0,"1.83",26.91,"Low"
"8","135","V22001","2218","ww","92","08/30/22",100.2,15.28,9,9,0,9,9,0,11.93,229,229,0,"8.58",38.5,"High"
"9","136","V22001","2364","ds","92","08/18/22",72.4,8,4,2,2,2,2,0,1.57,44,44,0,"0.96",21.82,"High"
"10","138","V22001","2352","ds","92","08/08/22",65,4.47,3,3,0,3,3,0,3.44,83,83,0,"1.86",22.41,"Low"
"11","140","V22001","2218","ds","92","08/08/22",68,4.95,6,5,1,5,3,2,3.4,52,52,0,"1.88",36.15,"High"
"12","141","V22001","2095","ww","92","08/18/22",67.3,10.35,9,9,0,9,9,0,13.04,369,369,0,"8.90",22.9,"Low"
"13","143","V22001","2321","ds","90-92","11/08/22",78,5.6,5,3,2,3,3,0,3.68,104,104,0,"2.42",23.4,"Low"
"14","145","V22001","2267","ds","92","08/12/22",82.4,8.63,5,4,1,4,4,0,2.27,52,52,0,"1.24",23.85,"High"
"15","146","V22001","2007","ds","92","08/12/22",68.2,6.72,6,4,2,4,1,3,3.21,53,53,0,"2.08",39.25,"High"
"16","148","V22001","2321","ww","92","08/22/22",78.8,10.06,8,8,0,8,8,0,12.71,274,274,0,"9.14",36.3,"Low"
"17","150","V22001","2095","ds","92","08/08/22",50,3.27,3,3,0,3,3,0,3.18,56,56,0,"1.97",35.18,"Low"
"18","151","V22001","2297","ds","92","08/08/22",63,7.43,6,5,1,5,4,1,3.7,85,85,0,"1.87",22,"Low"
"19","153","V22001","2364","ww","92","08/29/22",94.7,18.18,9,9,0,9,9,0,15.68,300,298,2,"11.56",36.8,"High"
"20","155","V22001","2007","ds","92","08/12/22",72.5,7.13,5,5,0,5,5,0,4.28,101,101,0,"2.87",28.2,"High"
"21","156","V22001","2267","ww","92","08/18/22",103.5,18.56,9,9,0,9,9,0,9.15,197,189,8,"5.70",28.9,"High"
"22","158","V22001","2156","ww","92","08/18/22",109,15.62,12,12,0,12,12,0,10.21,236,234,2,"6.96",28.7,"Low"
"23","160","V22001","2364","ds","92","08/12/22",90,8.12,5,4,1,4,4,0,3.46,79,75,4,"1.97",24.94,"High"
"24","161","V22001","2321","ds","92","08/08/22",62,4.27,4,4,0,4,3,1,4.68,101,101,0,"2.96",29.4,"Low"
"25","163","V22001","2297","ww","92","08/18/22",79,13,13,11,2,11,11,0,12.12,341,338,3,"7.17",22.7,"Low"
"26","165","V22001","2352","ww","92","08/18/22",89.5,14.29,7,7,0,7,7,0,8.33,213,213,0,"5.18",23.3,"Low"
"27","166","V22001","2321","ww","92","08/22/22",81,11.27,10,9,1,9,9,0,12.95,299,299,0,"8.69",24.1,"Low"
"28","168","V22001","2095","ds","90","08/09/22",51,3.8,5,5,0,5,5,0,3.83,58,58,0,"2.10",36.21,"Low"
"29","170","V22001","2496","ds","92","08/12/22",80.9,7.31,4,3,1,3,3,0,2.74,79,79,0,"1.87",23.67,"High"
"30","171","V22001","2156","ds","92","08/18/22",77,7.66,8,4,4,4,3,1,1.91,11,11,0,"0.30",27.27,"Low"
"31","173","V22001","2321","ww","92","08/18/22",77.3,8.34,7,7,0,7,7,0,11.17,245,245,0,"7.92",34.4,"Low"
"32","175","V22001","2496","ds","92","11/08/22",87,8.18,5,2,2,2,2,0,2.44,61,61,0,"1.47",24.1,"High"
"33","176","V22001","2156","ww","92","08/12/22",100.5,18.72,9,9,0,9,8,1,8.03,198,198,0,"4.71",24.1,"Low"
"34","178","V22001","2496","ww","92","08/26/22",95,11.02,8,8,0,8,8,0,9.34,175,160,15,"6.20",36.8,"High"
"35","180","V22001","2218","ds","92","08/12/22",76.5,6.36,6,5,1,5,3,2,5,98,98,0,"3.42",34.9,"High"
"36","181","V22001","2156","ww","92","08/22/22",94.1,16.84,13,13,0,13,13,0,9.77,220,220,0,"5.90",28.8,"Low"
"37","183","V22001","2352","ww","92","08/26/22",70.3,11.33,9,9,0,9,9,0,8.71,201,199,2,"5.06",24.6,"Low"
"38","185","V22001","2352","ds","92","08/08/22",64,3.49,3,3,0,3,3,0,3.3,83,83,0,"1.93",23.25,"Low"
"39","186","V22001","2095","ds","90","08/09/22",54,3.04,3,3,0,3,2,1,3.78,78,78,0,"2.46",31.54,"Low"
"40","188","V22001","2352","ds","90","08/09/22",71,3.87,3,3,0,3,3,0,3.74,100,100,0,"2.10",21,"Low"
"41","190","V22001","2095","ww","92","08/12/22",68,8.04,7,6,1,6,6,0,8.31,253,253,0,"5.76",22.7,"Low"
"42","191","V22001","2297","ds","90","08/09/22",58,5.05,6,5,1,5,3,2,4.11,81,81,0,"2.47",30.49,"Low"
"43","193","V22001","2007","ds","92","08/09/22",69,5.1,5,5,0,5,4,1,3.55,55,55,0,"2.29",41.64,"High"
"44","195","V22001","2218","ww","92","08/12/22",99.9,14.07,9,8,1,8,8,0,9.52,205,205,0,"6.81",36.1,"High"
"45","196","V22001","2321","ds","92","08/12/22",61,4.7,4,4,0,4,4,0,4.72,121,121,0,"2.94",23.5,"Low"
"46","198","V22001","2496","ww","90-92","11/08/22",88,12.5,7,7,0,7,7,0,6.02,136,136,0,"3.08",25,"High"
"47","200","V22001","2267","ds","92","08/18/22",65.7,7.66,11,4,7,4,4,0,0.9,8,6,2,"0.19",23.75,"High"
"48","201","V22001","2297","ww","92","08/30/22",77,11.77,13,13,0,13,13,0,12.56,379,379,0,"8.32",22.4,"Low"
"49","203","V22001","2352","ww","92","08/18/22",68.6,10.63,8,8,0,4,4,0,3.84,72,72,0,"1.73",24.03,"Low"
"50","205","V22001","2156","ds","92","08/12/22",73.9,7.71,5,3,2,3,3,0,1.67,50,50,0,"1.00",20,"Low"
"51","206","V22001","2218","ds","92","08/09/22",87,5.53,4,4,0,4,4,0,5.7,113,113,0,"3.04",27.1,"High"
"52","208","V22001","2364","ww","92","08/30/22",83.4,18.2,11,11,0,11,10,1,14.12,284,261,23,"9.00",35,"High"
"53","210","V22001","2321","ww","92","08/30/22",72.5,9.38,7,7,0,7,7,0,10.42,231,216,15,"7.20",31.1,"Low"
"54","211","V22001","2352","ww","92","08/30/22",84.7,12.62,8,8,0,8,8,0,9.16,231,231,0,"6.03",30.2,"Low"
"55","213","V22001","2297","ww","92","08/30/22",72.2,13.98,14,14,0,14,14,0,13.69,408,403,5,"9.04",23.6,"Low"
"56","215","V22001","2267","ww","92","08/30/22",92.6,17.69,11,11,0,11,9,2,9.3,204,186,18,"5.85",30.3,"High"
"57","216","V22001","2297","ds","92","08/08/22",55,4.87,6,6,0,6,5,1,3.43,92,92,0,"2.03",22.07,"Low"
"58","218","V22001","2321","ds","92","08/12/22",59.7,4.93,5,3,2,3,3,0,3.8,107,107,0,"2.37",22.2,"Low"
"60","221","V22001","2007","ww","92","08/12/22",91.5,8.87,11,11,0,11,11,0,11.27,226,226,0,"8.17",36.7,"High"
"61","225","V22001","2364","ds","92","08/22/22",74.5,7.46,3,3,0,3,3,0,1.66,32,32,0,"0.85",26.56,"High"
"62","226","V22001","2007","ww","92","08/22/22",90,12.35,10,8,2,8,8,0,10.89,218,218,0,"7.57",35.6,"High"
"63","228","V22001","2267","ww","92","08/22/22",109,19.59,11,11,0,11,11,0,9.15,232,192,40,"5.84",26.6,"High"
"64","230","V22001","2007","ww","92","08/22/22",85.5,9.04,7,7,0,7,7,0,9.63,241,241,0,"8.26",33.7,"High"
"65","231","V22001","2496","ds","92","08/08/22",88,5.63,4,3.5,0.54,4,3,1,3.07,84,84,0,"1.39",16.55,"High"
"66","233","V22001","2095","ds","92","08/08/22",52,3.52,4,4,0,4,4,0,3.88,87,85,2,"2.43",27.93,"Low"
"67","235","V22001","2267","ds","92","08/18/22",68.2,6.68,9,9,0,9,8,1,1.4,0,0,0,"0",0,"High"
"68","236","V22001","2496","ww","92","08/22/22",100.5,13.04,10,10,0,10,10,0,13.05,235,228,7,"7.75",33,"High"
"69","238","V22001","2496","ds","92","08/12/22",78.2,6.17,5,4,1,4,4,0,2.97,84,84,0,"1.84",21.9,"High"
"70","240","V22001","2156","ds","92","08/08/22",71,5.56,6,3,3,3,3,0,2.42,69,69,0,"1.48",21.45,"Low"
"71","241","V22001","2496","ds","92","08/12/22",83.5,6.48,5,3,2,3,3,0,3.01,98,98,0,"1.87",19.08,"High"
"72","243","V22001","2007","ds","92","08/08/22",74,4.23,4,4,0,4,3,1,3.17,70,70,0,"1.75",25,"High"
"73","245","V22001","2267","ds","90-92","11/08/22",69,8.9,7,7,0,7,7,0,1.15,0,0,0,"0",0,"High"
"74","246","V22001","2297","ds","92","08/08/22",58,4.34,4,5,0,5,4,1,4.11,99,98,1,"2.14",21.62,"Low"
"75","248","V22001","2095","ww","92","08/22/22",66.3,9.38,10,10,0,10,10,0,11.38,342,339,3,"7.93",22.1,"Low"
"76","250","V22001","2321","ds","92","08/12/22",65.2,4.35,4,3.5,1,3,3,0,4.01,109,109,0,"2.54",23.4,"Low"
"77","251","V22001","2297","ww","92","08/22/22",78.7,11.91,11,11,0,11,11,0,13.85,370,370,0,"8.95",26.2,"Low"
"78","253","V22001","2496","ww","92","08/29/22",94,16.71,9,9,9,9,9,0,8.48,200,200,0,"5.54",29.9,"High"
"79","255","V22001","2321","ww","92","08/26/22",74.4,9.94,8,8,0,8,8,0,9.57,240,240,0,"6.15",25,"Low"
"80","256","V22001","2496","ww","92","08/26/22",93.4,14.22,11,11,0,11,11,0,11.67,283,268,15,"8.17",32.2,"High"
"81","258","V22001","2364","ww","92","08/26/22",95.7,13.47,6,6,0,6,4,2,10.9,181,180,1,"8.30",44.5,"High"
"82","260","V22001","2364","ds","92","08/18/22",78.3,7.53,4,3,1,4,4,0,1.13,20,20,0,"0.52",26,"High"
"83","261","V22001","2156","ww","92","08/18/22",97.5,16.15,10,10,0,10,9,1,9.93,205,205,0,"5.22",25.5,"Low"
"84","263","V22001","2297","ww","92","08/18/22",81.1,12.64,9,9,0,9,9,0,11.1,244,244,0,"5.55",24.7,"Low"
"85","265","V22001","2297","ds","92","08/09/22",61,4.37,4,4,0,4,3,1,3.05,87,85,2,"1.47",16.9,"Low"
"86","266","V22001","2095","ww","92","08/18/22",65.5,10.24,8,8,0,8,7,1,10.79,289,289,0,"7.37",27.5,"Low"
"87","268","V22001","2364","ww","92","08/30/22",102,19.96,9,9,0,9,9,0,15.25,296,285,11,"11.30",42.3,"High"
"88","270","V22001","2007","ds","90","08/09/22",69,4.15,6,6,0,6,5,1,3.96,83,83,0,"2.41",29.04,"High"
"89","271","V22001","2218","ww","92","08/18/22",98.3,12.36,10,9,1,9,9,0,13.3,259,259,0,"9.21",34,"High"
"90","273","V22001","2352","ds","91","08/09/22",66,5.11,3,3,0,3,3,0,2.56,43,43,0,"1.32",30.7,"Low"
"91","275","V22001","2218","ds","92","11/08/22",72,5.71,5,4,1,4,3,1,4.08,113,104,9,"3.23",31.4,"High"
"92","276","V22001","2364","ds","92","08/18/22",87.5,5.77,4,3,1,3,3,0,4.27,82,82,0,"2.86",34.88,"High"
"93","278","V22001","2352","ww","92","08/22/22",89.8,14.53,9,7,2,7,7,0,11.25,277,277,0,"7.52",28.6,"Low"
"94","280","V22001","2496","ww","92","08/18/22",93.5,12.52,6,6,0,6,6,0,9.71,228,228,0,"6.56",30.3,"High"
"95","281","V22001","2218","ds","92","08/09/22",67,5.04,4,3,1,3,1,2,3.2,53,53,0,"2.12",40,"High"
"96","283","V22001","2352","ww","92","08/30/22",83.5,17.2,9,9,0,9,9,0,10.93,241,241,0,"6.92",31.2,"Low"
"97","285","V22001","2007","ww","92","08/18/22",86,10.54,7,7,0,7,7,0,12.03,260,260,0,"8.51",31.5,"High"
"98","286","V22001","2095","ds","92","08/08/22",50,3.68,4,3,1,3,2,1,3.52,69,69,0,"2.46",35.65,"Low"
"99","288","V22001","2156","ww","92","08/18/22",95.5,16.81,11,11,0,11,9,2,10.66,204,204,0,"5.73",28.4,"Low"
"100","290","V22001","2267","ww","92","08/30/22",85.5,13.5,11,11,0,11,9,2,8,200,173,27,"4-96",29.2,"High"
"101","291","V22001","2095","ww","92","08/22/22",64.5,10.39,9,9,0,9,9,0,12.39,327,327,0,"8.27",25.7,"Low"
