"Genotypes","CIC_Morgenrot","CIC_Hadmersleben","CIC_Sollingen"
"BMW2001",-25.84330303,-27.0457491277568,-28.622797018248
"BMW2002",-25.60262608,-27.1464838756041,-28.5348999110341
"BMW2003",-25.96855791,-27.3945562036541,-28.7128403497919
"BMW2004",-25.55073995,-27.1002849575858,-27.9680364717755
"BMW2005",-26.06316964,-27.8353790859954,-29.0327225269441
"BMW2006",-25.42413732,-26.3592127908781,-27.9877837437278
"BMW2007",-25.26785663,-27.1552280639178,-27.9710529707636
"BMW2008",-25.73413591,-27.3345835000015,-28.3886651767604
"BMW2009",-25.98689276,-27.5653481154585,-28.8522614581326
"BMW2012",-26.01402105,-27.6171185863912,-28.382147156425
"BMW2013",-25.8069928,-27.3350785291092,-28.3673210511679
"BMW2015",-26.02090719,-27.2703932860385,-28.8003330358561
"BMW2016",-25.87128764,-27.2582206414975,-28.463966019471
"BMW2018",-26.02029155,-27.63297663008,-28.8139857243671
"BMW2020",-25.94376565,-27.3763228060045,-28.5114347833455
"BMW2022",-25.67766901,-27.4961990976005,-28.6149497877638
"BMW2023",-26.08594307,-27.7786735760995,-28.7961526118359
"BMW2024",-25.94191409,-27.9759113435269,-28.8122961077026
"BMW2025",-25.33762714,-27.0705909481338,-28.2242486169826
"BMW2026",-25.80728364,-27.5149637090134,-28.4730871982199
"BMW2027",-26.30839486,-27.8168952691223,-28.837788522218
"BMW2028",-25.97840194,-27.2000178128781,-28.3130107998023
"BMW2029",-26.30106006,-27.9613398634524,-28.4479843138494
"BMW2030",-26.11367931,-27.9344545000563,-28.5653783221402
"BMW2031",-25.70643305,-27.1215511354032,-27.9998907480277
"BMW2032",-26.0098286,-27.8023262786289,-28.4400988568
"BMW2033",-25.91283947,-27.3457368954332,-28.3552130846182
"BMW2034",-25.87388089,-27.4526427833211,-28.4174160204854
"BMW2035",-25.82751288,-27.5619667921163,-28.1210692982282
"BMW2036",-25.84428852,-27.3970463142002,-28.1941105637714
"BMW2037",-26.0492037,-27.7255864999067,-28.3444678893444
"BMW2038",-25.86984966,-27.1599236487077,-28.3572059337463
"BMW2039",-25.60607801,-27.6094625797068,-28.2533649664221
"BMW2041",-25.43463856,-27.3833367810269,-28.1180691130495
"BMW2042",-26.17315941,-27.8111898031156,-28.7298607149516
"BMW2043",-26.26157029,-27.7849565357062,-28.7045271777159
"BMW2044",-25.96142479,-27.5992023086344,-28.7060086166994
"BMW2045",-25.96160157,-27.6550632168188,-29.0480199652493
"BMW2046",-26.09809496,-27.8736817300908,-28.7405640505034
"BMW2047",-26.33822413,-28.0437168742932,-28.9464611184539
"BMW2048",-26.17970651,-27.6062186351553,-28.9541611540254
"BMW2050",-25.83613309,-27.5250740980383,-28.6279779408138
"BMW2051",-26.14696882,-27.7907511345656,-28.7557885117129
"BMW2052",-26.0062691,-27.7178696934913,-28.7954770831166
"BMW2054",-26.03061402,-27.3004772252219,-28.5416613033019
"BMW2055",-26.48495306,-28.2773569425425,-28.9982492775558
"BMW2056",-26.040629,-27.325710224138,-28.3500885330111
